domain;dois_number;mean_visibility_index;visibility_index;h_index
http://pubs.asha.org/;56;0.0036666666666666666;0.0036666666666666666;1.0
https://ruor.uottawa.ca/;1;0.0034700000000000004;0.0034700000000000004;0.0
https://scholarworks.smith.edu/;2;0.003186666666666666;0.003186666666666666;0.0
https://ieee-dataport.org/;1;0.003156666666666667;0.003156666666666667;0.0
http://www.internano.org/;30;0.0031233333333333334;0.0031233333333333334;0.0
https://researchportal.port.ac.uk/;1;0.002706666666666667;0.002706666666666667;0.0
https://seg.org/;4;0.0026433333333333335;0.0026433333333333335;0.0
https://digitalcommons.uri.edu/;1;0.002643333333333333;0.002643333333333333;0.0
https://dataspace.princeton.edu/;6;0.0025033333333333335;0.0025033333333333335;0.0
https://dailynews.ascopubs.org/;52;0.0023466666666666666;0.0023466666666666666;0.0
https://www.unidata.unimib.it/;2;0.0021333333333333334;0.0021333333333333334;0.0
